Target,ID,Date,Flag,User,Tweet,Clean_Tweet,Sentiment
0,2200481527,Tue Jun 16 18:57:38 PDT 2009,NO_QUERY,prokicker,"@lmwarren85 Good night! At this time 2mrw, we'll be far away from each other! ", good night at this time mrw well be far away from each other ,Positive
0,2258705948,Sat Jun 20 16:21:46 PDT 2009,NO_QUERY,Imogen_jo,@beccaviola as long as your ok?? I don't like the thought of you on your own when you need support with stuff  .. text if you want pickle, as long as your ok i dont like the thought of you on your own when you need support with stuff   text if you want pickle,Positive
0,1826340345,Sun May 17 08:16:32 PDT 2009,NO_QUERY,AmyWCanFly,"@vickytkd I cant get it to work,  Let me know what happens tomorrow! x", i cant get it to work  let me know what happens tomorrow x,Neutral
0,1822638155,Sat May 16 20:02:24 PDT 2009,NO_QUERY,suchaladi,@MissKeriBaby couldn't make it 2 the show  afterparty???, couldnt make it  the show  afterparty,Neutral
0,2013138714,Tue Jun 02 22:00:09 PDT 2009,NO_QUERY,chcameron,"A 5-year-old is stabbed to death by father, a woman is raped live on a web cam, and a bus crashes - don't you just LOVE the local news? ",a yearold is stabbed to death by father a woman is raped live on a web cam and a bus crashes  dont you just love the local news ,Positive
4,2188284099,Mon Jun 15 21:37:09 PDT 2009,NO_QUERY,ohdearr,milo ventimiliga is soaking wet and dear lord is he delishious ,milo ventimiliga is soaking wet and dear lord is he delishious ,Negative
0,1753321817,Sun May 10 01:04:45 PDT 2009,NO_QUERY,kasey79,"@soaps3 NO not early at all, I think she said 2:10 or something like that, poor baby. I am a bad mommy ", no not early at all i think she said  or something like that poor baby i am a bad mommy ,Negative
4,2059333868,Sat Jun 06 16:43:20 PDT 2009,NO_QUERY,kramestar2010,Producers was awesome!!! One of the best shows @ the Walnut I've seen ,producers was awesome one of the best shows  the walnut ive seen ,Positive
4,1834384214,Mon May 18 02:43:44 PDT 2009,NO_QUERY,minxlj,Thank you everyone for lovely comments about my new pink/blonde hair  was told by a client today it's very cheery! LOL,thank you everyone for lovely comments about my new pinkblonde hair  was told by a client today its very cheery lol,Positive
4,1957028982,Thu May 28 23:19:14 PDT 2009,NO_QUERY,JackCumz,"@JaylaStarr never fails, smoke up, watch some of your scenes, aaahhh  love it!", never fails smoke up watch some of your scenes aaahhh  love it,Positive
0,2060189300,Sat Jun 06 18:25:56 PDT 2009,NO_QUERY,HilariouslyHere,All by myself now ,all by myself now ,Neutral
0,2062887974,Sun Jun 07 00:38:10 PDT 2009,NO_QUERY,webwoke,F**K! drop by 1  27. tribbleagency.com,fk drop by    tribbleagencycom,Neutral
0,1822319042,Sat May 16 19:18:00 PDT 2009,NO_QUERY,ashtea,My throat still feels like someone punched it ,my throat still feels like someone punched it ,Neutral
0,1823182807,Sat May 16 21:18:54 PDT 2009,NO_QUERY,leenkwan,Living here feels as though I am trapped in a 8 x 8 cell. ,living here feels as though i am trapped in a  x  cell ,Negative
4,1957509401,Fri May 29 00:43:35 PDT 2009,NO_QUERY,diehardtryhard,"tweetin from the airport. au revoir, loves. ",tweetin from the airport au revoir loves ,Neutral
4,2053015954,Sat Jun 06 02:56:23 PDT 2009,NO_QUERY,papermashyeti,art prints and cushion cover prices slashed @ www.papermashyeti.com (website will be available again later today or tomorrow  ),art prints and cushion cover prices slashed  wwwpapermashyeticom website will be available again later today or tomorrow  ,Positive
0,1693715593,Sun May 03 23:30:46 PDT 2009,NO_QUERY,hmtangx,@ohwhatevs @itsdoro FML I READ THE PB SPOILERS! NOOOOOOOOO ARGH argh argh argh argh i'll leave it up to  you guys to read them ,  fml i read the pb spoilers nooooooooo argh argh argh argh argh ill leave it up to  you guys to read them ,Negative
0,1753695915,Sun May 10 02:57:45 PDT 2009,NO_QUERY,pattieli,@Abbiedizzle9 yo yo yo! why the fuck are you all the way over there  im not happy about this and the fact that I'M NOT THERE GETTING HELLA, yo yo yo why the fuck are you all the way over there  im not happy about this and the fact that im not there getting hella,Negative
0,2180033765,Mon Jun 15 09:55:19 PDT 2009,NO_QUERY,Bethybbz,@le_beaute_ cool...sounds lyk a good plan .....the BEACH!....woooh havent been there in ages.....its always raining , coolsounds lyk a good plan the beachwoooh havent been there in agesits always raining ,Positive
0,2286876468,Mon Jun 22 17:02:49 PDT 2009,NO_QUERY,_Jaska,Poor Keri. I hope they put her on right before Beyonce. ,poor keri i hope they put her on right before beyonce ,Negative
4,1881118498,Fri May 22 03:39:51 PDT 2009,NO_QUERY,AngryVsTheBear,"Mitzi Fox is currently eating Lucky Charms for breakfast courtesy of The Baron. Ah, the taste of America! ",mitzi fox is currently eating lucky charms for breakfast courtesy of the baron ah the taste of america ,Positive
4,2187663691,Mon Jun 15 20:37:02 PDT 2009,NO_QUERY,thebay408,What up ryan how are u doing how is your day today lets go drink agen hehe ,what up ryan how are u doing how is your day today lets go drink agen hehe ,Neutral
4,2063874131,Sun Jun 07 04:24:52 PDT 2009,NO_QUERY,rallaf,"@dubaijazz Not once upon a time, just a couple of years ago apparently, at the latest 9 years ago  ", not once upon a time just a couple of years ago apparently at the latest  years ago  ,Positive
4,1997503131,Mon Jun 01 16:57:59 PDT 2009,NO_QUERY,peachyhollow,@thepioneerwoman  you are most welcome ,  you are most welcome ,Positive
0,1836470160,Mon May 18 08:03:17 PDT 2009,NO_QUERY,BreezySk8er,I'm having seattle withdrawls ,im having seattle withdrawls ,Neutral
0,2201035448,Tue Jun 16 19:42:55 PDT 2009,NO_QUERY,toskala16,omg i think downs just injured himself batting O WOW ! ,omg i think downs just injured himself batting o wow  ,Positive
4,1997426312,Mon Jun 01 16:49:47 PDT 2009,NO_QUERY,canyonsburn,Watching wolverine cartoon with my brother..sweeet! ,watching wolverine cartoon with my brothersweeet ,Neutral
0,1936032125,Wed May 27 07:19:54 PDT 2009,NO_QUERY,Amanda2409,@crisangwich I know it and my dumb cat hasn't returned , i know it and my dumb cat hasnt returned ,Negative
4,1965259762,Fri May 29 15:36:21 PDT 2009,NO_QUERY,bigweale,@ginww picked up some Blue Moon Summer Ale on my way back from work! , picked up some blue moon summer ale on my way back from work ,Neutral
4,1999895127,Mon Jun 01 21:01:07 PDT 2009,NO_QUERY,kathrynglass,Not going to oversleep tomorrow. Double checking my alarm! No more late Kathryn ,not going to oversleep tomorrow double checking my alarm no more late kathryn ,Negative
4,1956794451,Thu May 28 22:42:26 PDT 2009,NO_QUERY,bianxgalila02,thank you followers ,thank you followers ,Neutral
0,1881496069,Fri May 22 04:49:13 PDT 2009,NO_QUERY,iPhoneFcUk,@asronline haha. Used tho... , haha used tho ,Positive
0,2200555418,Tue Jun 16 19:03:31 PDT 2009,NO_QUERY,DiaZerva,My lucky cupcake in my truck for 2yrs was accidentally tossed out by @chefmh 's happy friend ,my lucky cupcake in my truck for yrs was accidentally tossed out by  s happy friend ,Positive
0,1986066311,Sun May 31 18:16:07 PDT 2009,NO_QUERY,CSchelldorf,is upset that i missed the taylor swift special ,is upset that i missed the taylor swift special ,Positive
4,1966962870,Fri May 29 18:43:14 PDT 2009,NO_QUERY,mybrwneyes,TGIF!!!  Can't wait to hit the club tomorrow  Have a great Friday!!,tgif  cant wait to hit the club tomorrow  have a great friday,Positive
0,1988856654,Sun May 31 23:34:40 PDT 2009,NO_QUERY,DannysGhirl,"Sun is shining yet again, i'll probably be stuck in the hospital for hours now ",sun is shining yet again ill probably be stuck in the hospital for hours now ,Negative
4,1962919114,Fri May 29 11:55:29 PDT 2009,NO_QUERY,Capetinha,@PhoenixC I'm just reporting genius...this made me seriously laught out loud though--in spite of being at the office. , im just reporting geniusthis made me seriously laught out loud thoughin spite of being at the office ,Negative
4,2059185029,Sat Jun 06 16:25:11 PDT 2009,NO_QUERY,xLittleMissTuki,2 MORE FREAKING DAYYYYS! , more freaking dayyyys ,Positive
